,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
43,2019-02-13,13.241521922978272,-2674.7700515279394,9893.056634900568,13.241521922978272,13.241521922978272,3852.191402036237,3852.191402036237,3852.191402036237,63.90583677480737,63.90583677480737,63.90583677480737,3788.28556526143,3788.28556526143,3788.28556526143,0.0,0.0,0.0,3865.4329239592153
44,2019-02-14,85.97730091514089,-2323.280561888448,10127.586182230938,85.97730091514089,85.97730091514089,3998.021601685348,3998.021601685348,3998.021601685348,-36.706218454734945,-36.706218454734945,-36.706218454734945,4034.7278201400827,4034.7278201400827,4034.7278201400827,0.0,0.0,0.0,4083.9989026004887
45,2019-02-15,158.71307990730278,-1423.2808211106342,10747.160027064254,158.71307990730278,158.71307990730278,4253.109160515525,4253.109160515525,4253.109160515525,-8.705239736039088,-8.705239736039088,-8.705239736039088,4261.814400251565,4261.814400251565,4261.814400251565,0.0,0.0,0.0,4411.822240422828
46,2019-02-16,231.44885889946542,-1466.4793285786661,11028.193139480889,231.44885889946542,231.44885889946542,4438.252398736253,4438.252398736253,4438.252398736253,-29.511097375654987,-29.511097375654987,-29.511097375654987,4467.763496111907,4467.763496111907,4467.763496111907,0.0,0.0,0.0,4669.701257635718
47,2019-02-17,304.1846378916273,-1538.4561558126159,11663.916379891903,304.1846378916273,304.1846378916273,4637.225712572824,4637.225712572824,4637.225712572824,-14.161288396671555,-14.161288396671555,-14.161288396671555,4651.387000969495,4651.387000969495,4651.387000969495,0.0,0.0,0.0,4941.410350464451
48,2019-02-18,376.9204168837899,-916.7888320385466,11909.292456277853,376.9204168837899,376.9204168837899,4879.604573615808,4879.604573615808,4879.604573615808,67.49986112376816,67.49986112376816,67.49986112376816,4812.10471249204,4812.10471249204,4812.10471249204,0.0,0.0,0.0,5256.524990499597
49,2019-02-19,449.6561958759518,-394.68524603124087,11516.241172608403,449.6561958759518,449.6561958759518,4907.620608109292,4907.620608109292,4907.620608109292,-42.32185393561558,-42.32185393561558,-42.32185393561558,4949.942462044908,4949.942462044908,4949.942462044908,0.0,0.0,0.0,5357.276803985244
50,2019-02-20,522.3919748681144,-689.0505850845793,11333.664336272954,522.3919748681144,522.3919748681144,5129.420313227699,5129.420313227699,5129.420313227699,63.90583677488755,63.90583677488755,63.90583677488755,5065.514476452811,5065.514476452811,5065.514476452811,0.0,0.0,0.0,5651.8122880958135
51,2019-02-21,595.1277538602764,-537.5974808631723,12078.733242050403,595.1277538602764,595.1277538602764,5123.284470572301,5123.284470572301,5123.284470572301,-36.706218454697385,-36.706218454697385,-36.706218454697385,5159.990689026999,5159.990689026999,5159.990689026999,0.0,0.0,0.0,5718.412224432577
52,2019-02-22,667.863532852439,-766.3614416393473,12364.106811364247,667.863532852439,667.863532852439,5226.344864668284,5226.344864668284,5226.344864668284,-8.705239736438742,-8.705239736438742,-8.705239736438742,5235.050104404722,5235.050104404722,5235.050104404722,0.0,0.0,0.0,5894.208397520722
53,2019-02-23,740.5993118446016,-239.6980705862686,11957.902577769111,740.5993118446016,740.5993118446016,5263.310577839165,5263.310577839165,5263.310577839165,-29.511097375544352,-29.511097375544352,-29.511097375544352,5292.821675214709,5292.821675214709,5292.821675214709,0.0,0.0,0.0,6003.909889683766
54,2019-02-24,813.3350908367635,-237.36337581273025,12283.523298103348,813.3350908367635,813.3350908367635,5321.653170219008,5321.653170219008,5321.653170219008,-14.161288396376396,-14.161288396376396,-14.161288396376396,5335.814458615384,5335.814458615384,5335.814458615384,0.0,0.0,0.0,6134.9882610557715
55,2019-02-25,886.0708698289261,195.5183439139681,12352.37410243056,886.0708698289261,886.0708698289261,5434.338940663174,5434.338940663174,5434.338940663174,67.49986112381477,67.49986112381477,67.49986112381477,5366.83907953936,5366.83907953936,5366.83907953936,0.0,0.0,0.0,6320.4098104921
56,2019-02-26,958.8066488210881,-192.79896940115577,12606.871094885004,958.8066488210881,958.8066488210881,5346.6008746536545,5346.6008746536545,5346.6008746536545,-42.321853935563965,-42.321853935563965,-42.321853935563965,5388.922728589218,5388.922728589218,5388.922728589218,0.0,0.0,0.0,6305.407523474742
57,2019-02-27,1031.5424278132507,-50.4394350616553,13056.875471864772,1031.5424278132507,1031.5424278132507,5469.1258980119,5469.1258980119,5469.1258980119,63.905836774857164,63.905836774857164,63.905836774857164,5405.220061237043,5405.220061237043,5405.220061237043,0.0,0.0,0.0,6500.6683258251505
58,2019-02-28,1104.2782068054125,623.4948167002084,12156.985423395101,1104.2782068054125,1104.2782068054125,5382.216219815239,5382.216219815239,5382.216219815239,-36.7062184546054,-36.7062184546054,-36.7062184546054,5418.922438269844,5418.922438269844,5418.922438269844,0.0,0.0,0.0,6486.494426620651
59,2019-03-01,1177.013985797575,225.83629780297034,12597.805774914,1177.013985797575,1177.013985797575,5424.462714372428,5424.462714372428,5424.462714372428,-8.7052397361851,-8.7052397361851,-8.7052397361851,5433.167954108613,5433.167954108613,5433.167954108613,0.0,0.0,0.0,6601.476700170004
60,2019-03-02,1249.7497647897371,352.45128148212814,12885.309363203301,1249.7497647897371,1249.7497647897371,5421.44354296953,5421.44354296953,5421.44354296953,-29.511097375433728,-29.511097375433728,-29.511097375433728,5450.954640344964,5450.954640344964,5450.954640344964,0.0,0.0,0.0,6671.193307759268
61,2019-03-03,1322.4855437818997,373.6709151358159,12856.697220182225,1322.4855437818997,1322.4855437818997,5460.897820625253,5460.897820625253,5460.897820625253,-14.161288396081241,-14.161288396081241,-14.161288396081241,5475.059109021336,5475.059109021336,5475.059109021336,0.0,0.0,0.0,6783.383364407153
62,2019-03-04,1395.2213227740615,755.2851314645073,13424.124736643407,1395.2213227740615,1395.2213227740615,5575.462579082592,5575.462579082592,5575.462579082592,67.49986112386138,67.49986112386138,67.49986112386138,5507.96271795873,5507.96271795873,5507.96271795873,0.0,0.0,0.0,6970.683901856653
63,2019-03-05,1467.9571017662242,700.2796404533283,13325.04618224205,1467.9571017662242,1467.9571017662242,5509.465250606639,5509.465250606639,5509.465250606639,-42.321853935701895,-42.321853935701895,-42.321853935701895,5551.787104542341,5551.787104542341,5551.787104542341,0.0,0.0,0.0,6977.422352372863
64,2019-03-06,1540.692880758386,1035.4349200070951,13673.89339015472,1540.692880758386,1540.692880758386,5672.1464886868725,5672.1464886868725,5672.1464886868725,63.90583677483953,63.90583677483953,63.90583677483953,5608.240651912033,5608.240651912033,5608.240651912033,0.0,0.0,0.0,7212.839369445259
65,2019-03-07,1613.4286597505488,972.1551464444113,13856.685464731929,1613.4286597505488,1613.4286597505488,5641.870912359066,5641.870912359066,5641.870912359066,-36.70621845481966,-36.70621845481966,-36.70621845481966,5678.577130813886,5678.577130813886,5678.577130813886,0.0,0.0,0.0,7255.299572109615
66,2019-03-08,1686.1644387427114,1548.0059437317923,13933.661942424926,1686.1644387427114,1686.1644387427114,5754.862170947356,5754.862170947356,5754.862170947356,-8.705239736287416,-8.705239736287416,-8.705239736287416,5763.567410683645,5763.567410683645,5763.567410683645,0.0,0.0,0.0,7441.026609690068
67,2019-03-09,1758.9002177348732,1634.3650882182576,14228.345102096155,1758.9002177348732,1758.9002177348732,5833.9736674544865,5833.9736674544865,5833.9736674544865,-29.511097375712687,-29.511097375712687,-29.511097375712687,5863.484764830199,5863.484764830199,5863.484764830199,0.0,0.0,0.0,7592.8738851893595
68,2019-03-10,1831.635996727036,1227.1900719568832,13933.41919429488,1831.635996727036,1831.635996727036,5963.942628826649,5963.942628826649,5963.942628826649,-14.161288396208912,-14.161288396208912,-14.161288396208912,5978.1039172228575,5978.1039172228575,5978.1039172228575,0.0,0.0,0.0,7795.578625553684
69,2019-03-11,1904.3717757191973,1432.9754521600164,14004.08628000419,1904.3717757191973,1904.3717757191973,6174.213463901007,6174.213463901007,6174.213463901007,67.49986112392631,67.49986112392631,67.49986112392631,6106.713602777081,6106.713602777081,6106.713602777081,0.0,0.0,0.0,8078.585239620204
70,2019-03-12,1977.1232625310927,2077.3147137139595,14582.661464223616,1977.1232625310927,1977.1232625310927,6205.820195624333,6205.820195624333,6205.820195624333,-42.32185393565028,-42.32185393565028,-42.32185393565028,6248.142049559983,6248.142049559983,6248.142049559983,0.0,0.0,0.0,8182.943458155425
71,2019-03-13,2049.8747493429873,2534.918463845324,14639.558601872463,2049.8747493429873,2049.8747493429873,6464.700286489622,6464.700286489622,6464.700286489622,63.90583677482188,63.90583677482188,63.90583677482188,6400.7944497148,6400.7944497148,6400.7944497148,0.0,0.0,0.0,8514.57503583261
72,2019-03-14,2122.626236154882,2283.139895530506,14858.879791840402,2122.626236154882,2122.626236154882,6525.994956847989,6525.994956847989,6525.994956847989,-36.70621845503392,-36.70621845503392,-36.70621845503392,6562.701175303022,6562.701175303022,6562.701175303022,0.0,0.0,0.0,8648.621193002871
